Cetrariopsis wallichiana
Cetrelia cetrarioides
Cetreliopsis rhytidocarpa
Ceuthocarpon populinum
Cryptosphaeria lauri
Chadefaudia marina
Chadefaudiella quezelii
Chadefaudiomyces indicus
Chaenocarpus setosus
Chaenotheca chrysocephala
Chaenotheca chrysocephala
Chaenothecomyces albidae
Chaenothecopsis rubescens
Chaetapiospora islandica
Chaetarthriomyces flexatus
Chaetaspis stenochlaenae
Chaetasterina anomala
Chaetoamphisphaeria japonica
Chaetobotrys bambusae
Chaetoceratostoma hispidum
Chaetoceris hispida
Chaetocrea parasitica
Chaetodimerina schiffnerulae
Chaetolentomita lignorum
Chaetomastia hirtula
Chaetomelanops aequatoriensis
Chaetomeliola bonaoensis
Chaetomeris pulcherrima
Chaetomidium fimeti
Chaetomium globosum
Chaetomyces pinophili
Chaetonaemosphaera vassiljevskii
Chaetonaevia nannfeldtii
Chaetopeltopsis tenuissima
Chaetoplaca memecyli
Chaetoplea calvescens
Chaetopotius commistum
Chaetopreussia chadefaudii
Chaetopyrena poae
Chaetopyrenis poae
Chaetosaccardinula fuliginea
Chaetosartorya chrysella
Chaetoscorias vulgaris
Chaetoscutula juniperi
Chaetoscypha nidulans
Chaetosphaerella phaeostroma
Chaetosphaeria innumera
Chaetosphaerulina yasudai
Chaetostigme capsulifera
Chaetostigmella papillifera
Chaetotheca fragilis
Chaetothyrina musarum
Chaetothyriopsis panamensis
Chaetothyrium guaraniticum
Chaetyllis polonica
Chailletia sorbina
Chalazion sociabile
Chalcosphaeria pustula
Chapeckia nigrospora
Chapsa indicum
Charcotia rufidula
Charonectria consolationis
Charrinia diplodiella
Chaudhuria indica
Cheilodonta carpoboloides
Cheilymenia stercorea
Chevalieria ctenotricha
Chevalieropsis ctenotricha
Chiajaea rhodomela
Rostania quadrata
Chilemyces valparadisiacus
Chiliospora elegans
Chilonectria cucurbitula
Chiodecton sphaerale
Chiodectonomyces crassi
Chiographa lyellii
Chitinonectria coccinea
Chitonomyces melanurus
Chitonospora ammophila
Chlamydozyma reukaufii
Chlorangium jussufii
Chlorea vulpina
Chlorencoelia versiformis
Chlorocaulum salazinum
Chlorociboria aeruginosa
Chlorodictyon foliosum
Chlorodothis lahmii
Chloropeltis aphthosa
Chloroscypha seaveri
Chlorospleniella fennica
Chlorosplenium chlora
Choiromyces meandriformis
Chondroderris nevadensis
Chondropsis semiviridis
Chondrospora semiteres
Chorioactis geaster
Chorostate oncostoma
Chorostella castanea
Chromatochlamys muscicola
Chromocrea gelatinosa
Chromocreopsis cubispora
Chroodiscus coccineus
Chrysogluten biasolettianum
Chrysomyces brachystegiae
Chrysopsora testacea
Chrysosplenium
Chrysothallus
Chrysothrix noli-tangere
Chytrella cosmia
Cibalocoryne viscosula
Ciboria caucus
Ciboriella rufescens
Ciborinia bifrons
Ciboriopsis bramleyi
Cicadomyces ptyeli-lineati
Cicinnobella parodiellicola
Cidaris caroliniana
Ciferriolichen lapponicum
Ciferriomyces pulcher
Ciferriotheca brosimi
Ciferriusia psychotriae
Ciliaria fuscoatra
Lachnea ciliata
Cilicia aeruginosa
Ciliella epidendri
Ciliofusospora oenocarpi
Ciliolarina laricina
Ciliomyces oropensis
Cilioplea coronata
Ciliosculum invisibile
Urceolaria hoffmannii
Circinaria epiphylla
Circinaria
Circinaria epiphylla
Cirsosia manaosensis
Cirsosiella globulifera
Cirsosina rhododendri
Cirsosiopsis violacescens
Cistella dentata
Cistellina auricolor
Citeromyces matritensis
Cladia aggregata
Cladina rangiferina
Cladinomyces sylvaticae
Cladochaete setosa
Cladodium hosseanum
Cladonia furcata
Cladonia subulata
Cladoniomyces pyxidatae
Cladoniopsis caespitosa
Cladopycnidium sinense
Cladosphaera cespitosa
Cladosphaeria eunomioides
Cladia aggregata
Clathroporina endochrysea
Clathrospora elynae
Clausaria fallens
Claussenomyces jahnianus
Claviceps purpurea
Clavidisculum kriegerianum
Clavispora lusitaniae
Cleistobombardia pakistani
Cleistoiodophanus conglutinatus
Cleistosoma purpureum
Cleistosphaera macrostegia
Cleistotheca papyrophila
Cleistothecopsis circinans
Cleistothelebolus nipigonensis
Clelandia arenacea
Clematomyces pinophili
Clethridium burchellii
Clibanites paradoxa
Clintoniella apiculata
Cliostomum corrugatum
Clithris quercina
Clonophoromyces grenadinus
Clypeocarpus alpinus
Clypeoceriospora rubi
Clypeococcum cladonema
Clypeolella inversa
Clypeolina cubensis
Clypeolina cubensis
Clypeolinopsis cubensis
Clypeolina cubensis
Clypeolum atroareolatum
Clypeophysalospora latitans
Clypeoporthe monocarpa
Clypeoporthella brencklei
Clypeorhynchus ater
Clypeosphaeria notarisii
Clypeosphaerulina vincae
Clypeostigma canarii
Clypeostroma spilomeum
Clypeothecium weirii
Clypeotrabutia portoricensis
Clypeum peltatum
Coccidiascus legeri
Coccidomyces pierantonii
Cocciscia hammeri
Coccocarpia molybdina
Coccochora quercicola
Coccochorella quercicola
Coccodiella arundinariae
Coccodinium bartschii
Coccodiscus quercicola
Coccodothella placida
Coccodothis sphaeroidea
Coccoidea quercicola
Coccoidella scutula
Coccomycella quercina
Coccomyces coronatus
Coccomycetella belonospora
Cocconia placenta
Cocconiopsis theissenii
Coccopeziza ootheca
Coccophacidium pini
Coccostroma machaerii
Coccostromella puttemansii
Coccostromopsis palmigena
Coccotrema antarcticum
Peziza aurantia
Cochliobolus heterostrophus
Cochliomyces argentinensis
Coelocaulon aculeatum
Coelorhopalon obovatum
Coelosphaeria fuckelii
Coenogoniomycella linkii
Coenogonium linkii
Coenoicia nuda
Coenomycogonium interpositi
Coenosphaeria diaporthides
Colensoniella torulispora
Coleosperma lacustre
Coleroa chaetomium
Collema lactuca
Collema pulposum
Collematospora venezuelensis
Collemis rupestris
Collemodes bachmanianum
Collemodiopsis nigrescens
Collema rivulare
Collemopsidium iocarpum
Colletomanginia paradoxa
Colletotrichopsis pyri
Collodiscula japonica
Collolechia caesia
Collonema papillatum
Colonomyces appendiculatus
Colpoma quercinum
Columnomyces ptomaphagi
Columnosphaeria sarothamni
Combea pruinosa
Comesella anomala
Comesia felicitatis
Comoclathris lanata
Compsocladium archboldianum
Compsomyces verticillatus
Concamerella pachyderma
Conchatium bilobum
Coniangium vulgare
Conicosolen mirabilis
Conida clemens
Conidiascus paradoxus
Coniocarpon cinnabarinum
Coniochaeta ligniaria
Coniochaetidium ostreum
Coniochila variolarioides
Coniocybe furfuracea
Coniocybopsis arenaria
Conioloma coccineum
Coniophyllum colensoi
Coniosporiella amazonensis
Coniothele perquisita
Sphaeria paedida
Connersia rilstonii
Conotremopsis weberiana
Conotrema urceolatum
Conotrematomyces urceolati
Cookeina tricholoma
Cookella microscopica
Copranophilus spinuliformis
Coprobia granulata
Coprobolus poculiformis
Coprolepa merdaria
Copromyces bisporus
Coprotiella gongylospora
Coprotinia minutula
Coprotus sexdecimsporus
Corallomyces elegans
Corallomycetella heinsenii
Cordierites guianensis
Cordycepioideus bisporus
Clavaria militaris
Cordylia
Coreomyces corisae
